"","lot","mean","sd","max","min","median","UOL","LOL"
"1","Control",28.0185533057655,2.07857854580465,49.57,12.932,27.808,34.2542889431794,21.7828176683515
"2","Exp 1",26.4612284893712,2.09469558282004,49.307,4.258,26.236,32.7453152378313,20.1771417409111
"3","Exp 2",26.1854629989213,2.01921478283267,54.794,12.644,26.057,32.2431073474193,20.1278186504233
"4","Exp 3",25.5701597797387,1.88343406323809,49.69,4.315,25.398,31.2204619694529,19.9198575900244
"5","Exp 4",26.5678850125532,1.93311696268239,55.897,13.495,26.461,32.3672359006004,20.7685341245061
"6","Exp 5",25.5246360850112,1.94784152680673,49.982,13.269,25.334,31.3681606654314,19.681111504591
