"","lot","mean","sd","max","min","median","UOL","LOL"
"1","Control",27.806071291222,0.28063405937063,33.847,24.419,27.805,28.6479734693339,26.9641691131101
"2","Exp 1",26.2383431360819,0.36828849180395,32.693,24.133,26.229,27.3432086114938,25.1334776606701
"3","Exp 2",26.0537501260661,0.310944964085846,32.235,20.332,26.056,26.9865850183236,25.1209152338085
"4","Exp 3",25.4007221129659,0.268665762410003,31.15,21.031,25.395,26.2067194001959,24.5947248257359
"5","Exp 4",26.3909097188507,0.365706895438731,32.27,21.039,26.458,27.4880304051669,25.2937890325345
"6","Exp 5",25.3325289175725,0.261129037397696,31.194,19.73,25.331,26.1159160297656,24.5491418053794
